instance_path,score
"real-world/appalachian_regional_project.txt",78464
"real-world/deutsche_digitale_bibliothek.txt",48463922
"real-world/vatican_secret_archives_project.txt",2544059
"real-world/oxford_bodleian_archives.txt",7979867
"real-world/new_york_public_library_system.txt",20199478
"real-world/internet_archive_bulk_scanning.txt",14967982
"synthetic/synthetic_70.txt",249881
"synthetic/synthetic_12.txt",28326692
"synthetic/synthetic_121.txt",48041
"synthetic/synthetic_101.txt",152994
"synthetic/synthetic_1.txt",267587
"synthetic/synthetic_21.txt",11430241
"synthetic/synthetic_71.txt",95460
"synthetic/synthetic_56.txt",929123
"synthetic/synthetic_23.txt",253667
"synthetic/synthetic_68.txt",268333
"synthetic/synthetic_126.txt",653721
"synthetic/synthetic_93.txt",103408
"synthetic/synthetic_98.txt",161049
"synthetic/synthetic_66.txt",5013512
"synthetic/synthetic_88.txt",105789
"synthetic/synthetic_136.txt",186737
"synthetic/synthetic_104.txt",6527023
"synthetic/synthetic_62.txt",205966
"synthetic/synthetic_117.txt",15930164
"synthetic/synthetic_65.txt",131164
"synthetic/synthetic_75.txt",140755
"synthetic/synthetic_67.txt",6249909
"synthetic/synthetic_57.txt",77903
"synthetic/synthetic_135.txt",217206
"synthetic/synthetic_110.txt",2923482
"synthetic/synthetic_34.txt",5365962
"synthetic/synthetic_96.txt",365328
"synthetic/synthetic_80.txt",137454
"synthetic/synthetic_82.txt",93157
"synthetic/synthetic_131.txt",308804
"synthetic/synthetic_125.txt",330735
"synthetic/synthetic_16.txt",30581672
"synthetic/synthetic_99.txt",144539
"synthetic/synthetic_73.txt",207169
"synthetic/synthetic_113.txt",47211
"synthetic/synthetic_97.txt",46694254
"synthetic/synthetic_19.txt",129044
"synthetic/synthetic_103.txt",2933849
"synthetic/synthetic_61.txt",128454
"synthetic/synthetic_94.txt",2294545
"synthetic/synthetic_18.txt",16928818
"synthetic/synthetic_24.txt",11035511
"synthetic/synthetic_13.txt",208710
"synthetic/synthetic_64.txt",94393
"synthetic/synthetic_106.txt",41357636
"synthetic/synthetic_54.txt",13231364
"synthetic/synthetic_120.txt",187715
"synthetic/synthetic_30.txt",2282117
"synthetic/synthetic_35.txt",163375
"synthetic/synthetic_118.txt",66979
"synthetic/synthetic_15.txt",49747
"synthetic/synthetic_38.txt",195420
"synthetic/synthetic_52.txt",154127
"synthetic/synthetic_10.txt",16142
"synthetic/synthetic_90.txt",177427
"synthetic/synthetic_72.txt",104862
"synthetic/synthetic_74.txt",60018
"synthetic/synthetic_100.txt",156794
"synthetic/synthetic_6.txt",82908
"synthetic/synthetic_47.txt",6304762
"synthetic/synthetic_58.txt",33127
"synthetic/synthetic_43.txt",94235
"synthetic/synthetic_3.txt",617575
"synthetic/synthetic_92.txt",113425
"synthetic/synthetic_69.txt",79479
"synthetic/synthetic_29.txt",116492
"synthetic/synthetic_102.txt",92691
"synthetic/synthetic_138.txt",197496
"synthetic/synthetic_8.txt",213202
"synthetic/synthetic_127.txt",100386
"synthetic/synthetic_7.txt",13145538
"synthetic/synthetic_116.txt",27275216
"synthetic/synthetic_39.txt",232545
"synthetic/synthetic_49.txt",105133
"synthetic/synthetic_27.txt",30451898
"synthetic/synthetic_132.txt",1265339
"synthetic/synthetic_45.txt",865559
"synthetic/synthetic_105.txt",8459918
"synthetic/synthetic_124.txt",152432
"synthetic/synthetic_9.txt",1700713
"synthetic/synthetic_83.txt",21618653
"synthetic/synthetic_109.txt",120045
"synthetic/synthetic_128.txt",252300
"synthetic/synthetic_26.txt",226322
"synthetic/synthetic_28.txt",144799
"synthetic/synthetic_114.txt",107503
"synthetic/synthetic_81.txt",198571
"synthetic/synthetic_53.txt",287602
"synthetic/synthetic_14.txt",17852
"synthetic/synthetic_107.txt",225474
"synthetic/synthetic_111.txt",963371
"synthetic/synthetic_63.txt",18713981
"synthetic/synthetic_95.txt",171405
"synthetic/synthetic_85.txt",2597661
"synthetic/synthetic_25.txt",244295
"synthetic/synthetic_46.txt",26857717
"synthetic/synthetic_40.txt",228204
"synthetic/synthetic_11.txt",182898
"synthetic/synthetic_134.txt",131286
"synthetic/synthetic_51.txt",126759
"synthetic/synthetic_17.txt",107874
"synthetic/synthetic_41.txt",3884976
"synthetic/synthetic_119.txt",258437
"synthetic/synthetic_86.txt",1869245
"synthetic/synthetic_44.txt",280437
"synthetic/synthetic_130.txt",226911
"synthetic/synthetic_122.txt",195177
"synthetic/synthetic_42.txt",28716537
"synthetic/synthetic_37.txt",15876
"synthetic/synthetic_32.txt",69150
"synthetic/synthetic_133.txt",9977291
"synthetic/synthetic_36.txt",163108
"synthetic/synthetic_115.txt",345277
"synthetic/synthetic_137.txt",129405
"synthetic/synthetic_4.txt",31581
"synthetic/synthetic_112.txt",169254
"synthetic/synthetic_87.txt",2703075
"synthetic/synthetic_76.txt",223621
"synthetic/synthetic_139.txt",117382
"synthetic/synthetic_78.txt",1056015
"synthetic/synthetic_20.txt",28983692
"synthetic/synthetic_84.txt",57755
"synthetic/synthetic_60.txt",17544919
"synthetic/synthetic_123.txt",184593
"synthetic/synthetic_50.txt",142479
"synthetic/synthetic_22.txt",110585
"synthetic/synthetic_79.txt",93566
"synthetic/synthetic_77.txt",10033866
"synthetic/synthetic_48.txt",231592
"synthetic/synthetic_5.txt",28639
"synthetic/synthetic_59.txt",104400
"synthetic/synthetic_2.txt",20182949
"synthetic/synthetic_108.txt",9421708
"synthetic/synthetic_31.txt",101690
"synthetic/synthetic_33.txt",12153357
"synthetic/synthetic_91.txt",1878228
"synthetic/synthetic_55.txt",65074
"synthetic/synthetic_89.txt",9015
"synthetic/synthetic_129.txt",65621
"google-hashcode/b_read_on.txt",4126100
"google-hashcode/d_tough_choices.txt",4109300
"google-hashcode/e_so_many_books.txt",754419
"google-hashcode/c_incunabula.txt",870640
"google-hashcode/f_libraries_of_the_world.txt",916843
