instance,score,time_ms
1,267587,52
2,20182949,1751
3,617575,59
4,31581,27
5,28639,30
6,82908,96
7,13145538,179
8,213202,93
9,1700713,54
10,16142,38
11,182898,58
12,28326692,3656
13,208710,53
14,17852,45
15,49747,10
16,30581672,1515
17,107874,40
18,16928818,4312
19,129044,48
20,28983692,1220
21,11430241,10318
22,110585,21
23,253667,44
24,11035511,146
25,244295,62
26,226322,59
27,30451898,5015
28,144799,58
29,116492,20
30,2282117,12
31,101690,57
32,69150,42
33,12153357,178
34,5365962,205
35,163375,84
36,163108,55
37,15876,50
38,195420,20
39,232545,53
40,228204,22
41,3884976,1581
42,28716537,4311
43,94235,18
44,280437,89
45,865559,39
46,26857717,14977
47,6304762,188
48,231592,40
49,105133,20
50,142479,28
51,126759,30
52,154127,56
53,287602,26
54,13231364,349
55,65074,42
56,929123,51
57,77903,16
58,33127,41
59,104400,304
60,17544919,835
61,128454,21
62,205966,72
63,18713981,2424
64,94393,25
65,131164,39
66,5013512,633
67,6249909,641
68,268333,32
69,79479,30
70,249881,39
71,95460,18
72,104862,34
73,207169,64
74,60018,44
75,140755,72
76,223621,48
77,10033866,3232
78,1056015,42
79,93566,13
80,137454,31
81,198571,52
82,93157,21
83,21618653,4342
84,57755,16
85,2597661,12
86,1869245,12
87,2703075,67
88,105789,39
89,9015,9
90,177427,23
91,1878228,93
92,113425,44
93,103408,43
94,2294545,81
95,171405,27
96,365328,53
97,46694254,32542
98,161049,17
99,144539,59
100,156794,49
101,152994,57
102,92691,40
103,2933849,45
104,6527023,233
105,8459918,766
106,41357636,10655
107,225474,47
108,9421708,694
109,120045,59
110,2923482,46
111,963371,11
112,169254,69
113,47211,15
114,107503,16
115,345277,61
116,27275216,1544
117,15930164,12084
118,66979,45
119,258437,62
120,187715,66
121,48041,74
122,195177,51
123,184593,53
124,152432,56
125,330735,59
126,653721,40
127,100386,15
128,252300,38
129,65621,16
130,226911,177
131,308804,51
132,1265339,91
133,9977291,1818
134,131286,16
135,217206,57
136,186737,51
137,129405,56
138,197496,61
139,117382,61
